symbol,date,return,corrected
CINEVISTA,22-Jan-2008,-1.5685,0
ZUARIAGRO,09-Apr-2012,-1.0280,0
FINCABLES,08-Jan-2007,-1.5914,0
BIOCON,11-Sep-2008,-0.6919,0
ESSELPACK,08-Jun-2006,-1.6755,0
JAICORPLTD,05-Oct-2007,-2.9469,0
DALMIACEM,27-Oct-2005,-1.5606,0
ECLERX,23-Jul-2010,-0.3939,0
RAMCOIND,14-Sep-2009,-2.9461,0
BALKRISIND,20-Dec-2010,-1.6530,0
RUCHISOYA,29-Oct-2007,-1.5500,0
TUBEINVEST,31-Aug-2004,-0.6738,0
TUBEINVEST,31-May-2006,-1.5593,0
KANSAINER,23-Jun-2010,-0.6657,0
GUJFLUORO,10-Oct-2005,-1.5871,0
GUJFLUORO,01-Feb-2008,-0.6683,0
SONASTEER,25-Aug-2004,-1.5687,0
SONASTEER,14-Sep-2006,-0.6392,0
SONASTEER,02-Sep-2008,-0.6380,0
HINDSYNTEX,04-Feb-2009,-0.2754,0
HINDSYNTEX,05-Sep-2011,-0.2693,0
HINDSYNTEX,09-Jan-2012,-0.4520,0
RANEBRAKE,08-Jan-2004,-0.7444,0
VIPIND,31-Oct-2011,-1.5967,0
RICOAUTO,11-Mar-2005,-2.3011,0
ONGC,27-Oct-2006,-0.3795,0
ONGC,08-Feb-2011,-1.4434,0
INFOTECENT,28-Jul-2006,-1.0349,0
INFOTECENT,10-Jun-2010,-0.6649,0
SHREEASHTA,01-Feb-2010,-1.4266,0
AUROPHARMA,10-Feb-2011,-1.5708,0
STERLINBIO,18-Mar-2005,-0.6783,0
REIAGROLTD,05-Feb-2009,-2.1926,0
REIAGROLTD,07-Jun-2010,-0.2906,0
LICHSGFIN,30-Dec-2010,-1.5914,0
INFOMEDIA,18-Dec-2009,-0.3897,0
AKSHOPTFBR,13-Jun-2008,-0.2641,0
MUNDRAPORT,23-Sep-2010,-1.6202,0
JAGRAN,09-Jan-2008,-1.5638,0
BANCOINDIA,30-Aug-2007,-0.6614,0
BANCOINDIA,23-Nov-2007,-1.5175,0
CARBORUNIV,17-Aug-2004,-1.5927,0
CARBORUNIV,23-Jun-2005,-0.7000,0
CARBORUNIV,05-Oct-2011,-0.6914,0
GUJALKALI,08-Jan-2004,-0.4281,0
EMAMILTD,21-Jul-2010,-0.7124,0
SREINFRA,10-Feb-2011,-0.5802,0
TATAMOTORS,12-Sep-2011,-1.6537,0
EXIDEIND,08-Sep-2006,-2.1429,0
AGCNET,19-Dec-2012,-0.6436,0
JUBILANT,12-Mar-2004,-0.4570,0
JUBILANT,17-Mar-2006,-1.5707,0
USHAMART,29-Aug-2007,-1.5714,0
NMDC,10-Apr-2008,-2.2538,0
NMDC,21-May-2008,-1.0498,0
KAJARIACER,19-Oct-2005,-1.6378,0
NRBBEARING,03-Sep-2010,-0.6819,0
KCP,02-Sep-2010,-2.2866,0
AARTIIND,09-Feb-2005,-1.0606,0
AARTIIND,13-Jan-2006,-0.6459,0
JKLAKSHMI,17-Dec-2009,-0.6649,0
MASTEK,27-Mar-2006,-0.7852,0
REDINGTON,20-Aug-2010,-1.6333,0
THOMASCOOK,14-May-2007,-2.2534,0
COROMNFERT,02-Jan-2006,-1.5898,0
GTLINFRA,20-Jul-2007,-0.3424,0
BAJAJELEC,28-Jan-2010,-1.6017,0
GLOBLTRUST,27-Jul-2004,-1.1775,0
GMRINFRA,28-Sep-2007,-1.5884,0
GMRINFRA,01-Oct-2009,-0.6720,0
GAIL,06-Oct-2008,-0.4470,0
THERMAX,31-Mar-2006,-1.5558,0
GRAPHITE,11-Dec-2006,-1.6333,0
SHASUNCHEM,19-Aug-2005,-1.6132,0
BBTC,13-Jun-2008,-0.2977,0
BBTC,08-Nov-2012,-1.6367,0
GEOMETRIC,02-Aug-2004,-0.6780,0
GEOMETRIC,02-Aug-2005,-1.5277,0
HCC,10-Aug-2010,-0.6942,0
ASIANELEC,22-Oct-2007,-0.7245,0
ASHOKLEY,29-Jun-2004,-2.3110,0
ASHOKLEY,02-Aug-2011,-0.6864,0
EKC,21-Aug-2007,-1.6166,0
ENGINERSIN,06-May-2010,-1.6094,0
BHARTIARTL,24-Jul-2009,-0.6715,0
AREVAT&D,22-Oct-2008,-1.6228,0
STER,05-May-2006,-1.5728,0
STER,21-Jun-2010,-1.3107,0
STRTECH,09-Mar-2010,-1.5888,0
TV-18,17-Oct-2007,-0.7066,0
DISHMAN,21-Oct-2005,-1.6331,0
GODREJCP,24-Aug-2006,-1.3904,0
BALRAMCHIN,23-Mar-2005,-2.3192,0
KIRLOSOIL,10-Aug-2005,-1.5925,0
PFOCUS,29-Oct-2010,-2.3299,0
KSBPUMPS,18-Apr-2011,-0.6718,0
HCLTECH,15-Mar-2007,-0.7107,0
ADSL,11-Nov-2009,-0.6266,0
HEXAWARE,28-Apr-2005,-1.6207,0
HEXAWARE,24-Feb-2011,-0.7935,0
MID-DAY,20-Jan-2011,-1.5251,0
RENUKA,10-Apr-2008,-2.3228,0
RENUKA,15-Mar-2010,-0.7003,0
KEC,30-Dec-2010,-1.6193,0
