"Name","Symbol","Auto"
"Shaw Wallace & Co. Ltd.-Sus","SHAWALLACE",0
"Smithkline Beecham Pharmaceuticals (I) Ltd.-Merged","SMITHKLPHA",0
"Sree Rayalaseema Alkalies & Allied Chemicals Ltd.","SREERAYALK",0
"Standard Industries Ltd.- Delisted","STDIND",0
"Sterling Holiday Resorts (India) Ltd.-Delisted","STERLINHOL",0
"TCI Industries Ltd.","NA",0
"TVS Suzuki Ltd. (old)","TVSSUZUKI",0
"Tata Finance Ltd.","TATAFIN",0
"Tata Hydro-Electric Power Supply Co. Ltd.","TATAHYDRO",0
"Tata Infotech Ltd.-Merged","TATAINFOTE",0
"Textool Co. Ltd.- Merger","TEXTOOL",0
"Timex Watches Ltd.","TIMEXWATCH",0
"Transpek Industry Ltd.","TRANSPEK",0
"United Breweries Ltd.-Old","UNITEDBREW",0
"United Phosphorous Ltd. -Sus","UNITEDPHOS",0
"Usha (India) Ltd.","USHAINDIA",0
"Videocon International Ltd.","VDOCONINTL",0
"Vikas WSP Ltd.","VIKASWSP",0
"Viral Filaments Ltd.","VIRALFILA",0
"Warren Tea Ltd.","WARRENTEA",0
"Widia (India) Ltd.","WIDIA",0
"Wimco Ltd.-Delisted","WIMCO",0
"Wockhardt Ltd. (old)","WOCKHARDT",0
"Yokogawa Ltd.","YOKOGAWA",0
"Avery India Ltd.","AVERY",0
"Insilco Ltd. - Sus","INSILCO",0
"Malwa Cotton Spinning Mills Ltd.","MALWACOTT",0
"Punjab Communications Ltd.","PUNJCOMMU",0
"Moser Baer India Ltd.","MOSERBAER",0
"Global Trust Bank Ltd.","GLOBLTRUST",0
"Rayban Sun Optics India Ltd.","BAUSCHLOMB",0
"Sri Vishnu Cement Ltd.- Merged","SRIVISHCEM",0
"Elgi Rubber Company Ltd. - Suspended","ELGIRUBCO",0
"KRONE Communications Ltd.","KRONECOMM",0
"Pentafour Products Ltd.","PENTAFRPROD",0
"Punjab Anand Lamp Industries Ltd.","PUNANDLAMP",0
"TVS Electronics Ltd. - Merge","TVSELECT",0
"Ciba Speciality Chemicals (India) Ltd.","CIBASPEC",0
"Gulf Oil India Ltd.-Old","GULFOIL",0
"PSI Data Systems Ltd.","PSIDATASYS",0
"Rain Calcining Ltd.","RAINCALCIN",0
"Reliance Petroleum Ltd.- Merge","RELPETRO",0
"IDBI Bank Ltd.-OLD","IDBIBANK",0
"Orient Information Technologies Ltd.","ORIENTINFO",0
"Television Eighteen India Ltd.","TV18",0
"Bank of Punjab Ltd.","BANKPUNJAB",0
"Shree Rama Multi Tech Ltd.","SHREERAMA",0
"Bank of Rajasthan Ltd.","BANKRAJAS",0
"Ajanta Pharmaceuticals Ltd.","AJANTPHARM",0
"Lakshmi Auto Components Ltd.- Delisted","LAKSHAUTO",0
"United Western Bank Ltd.","UNIWESTBNK",0
"AXIS IT&T Ltd.","AXIS-IT&T",0
"Agee Gold Refineries","AGEEGOLD",0
"Andhra Sugars Ltd.","ANDHRSUGAR",0
"Bharat Hotels Ltd. - Delisted","BHARATHOT",0
"Compudyne Winfosystems Ltd.","COMPUDYNE",0
"First Leasing Co. of India Ltd.","FIRSTLEASE",0
"NRB Bearings Ltd.","NRBBEARING",0
"Siltap Chemicals Ltd.- Merged","SILTAPCHEM",0
"Sirpur Paper Mills Ltd.","SIRPAPER",0
"Zenith Computer Ltd.","ZENITHCOMP",0
"Fertilisers and Chemicals Travancore Ltd.","FACT",0
"Central India Polyesters Ltd.","CIPL",0
"Search Chem. Industries Ltd. - Sus","SEARCHEMIN",0
"Today's Writing Products Ltd.","TODAYS",0
"State Trading Corporation of India Ltd.","STCINDIA",0
"Indo Gulf Fertilisers Ltd.","IGFLFERT",0
"Rane Engine Valves Ltd. -old","RANEMADRAS",0
"Rane Brake Linings Ltd. -old","RANEBRAKE",0
"NDTV Ltd.","NDTV",0
"Shriram Investments Ltd.-Merged","SHRIRAMINV",0
"Narmada Chematur Petrochemicals Ltd.","NARMDCHEMA",0
