"Name","Symbol","Auto"
"Glenmark Pharmaceuticals Ltd.","GLENMARK",1
"Aventis Pharma Ltd.","AVENTIS",1
"ING Vysya Bank Ltd.","INGVYSYABK",1
"Zee Entertainment Enterprises Ltd.","ZEEL",0
"Sesa Goa Ltd.","SESAGOA",1
"Adani Enterprises Ltd.","ADANIENT",1
"Apollo Tyres Ltd.","APOLLOTYRE",1
"Chennai Petroleum Corporation Ltd.","CHENNPETRO",0
"Crompton Greaves Ltd.","CROMPGREAV",1
"Federal Bank Ltd.","FEDERALBNK",1
"Indiabulls Real Estate Ltd.","IBREALEST",0
"Raymond Ltd.","RAYMOND",1
"Tata Communications Ltd.","TATACOMM",1
"United Phosphorus Ltd.","UNIPHOS",1
"Wockhardt Ltd.","WOCKPHARMA",1
"Grasim Industries Ltd.","GRASIM",1
"Moser Baer India Ltd.","MOSERBAER",0
"Punj Lloyd Ltd.","PUNJLLOYD",1
"Torrent Power Ltd.","TORNTPOWER",1
"ABB Ltd.","ABB",1
"Rural Electrification Corporation Ltd.","REC",0
"Shriram Transport Finance Co. Ltd.","SRTRANSFIN",0
"Yes Bank Ltd.","YESBANK",1
"Exide Industries Ltd.","EXIDEIND",1
"Corporation Bank","CORPBANK",1
"IndusInd Bank Ltd.","INDUSINDBK",1
"Coal India Ltd.","COALINDIA",1
"Divi's Laboratories Ltd.","DIVISLAB",1
"IFCI Ltd.","IFCI",1
"Petronet LNG Ltd.","PETRONET",1
"Apollo Hospitals Enterprises Ltd.","APOLLOHOSP",0
"Bajaj Holdings & Investment Ltd.","BAJAJHLDNG",0
"Bharat Electronics Ltd.","BEL",1
"Godrej Consumer Products Ltd.","GODREJCP",1
