Name,Symbol,Auto
Elgi Equipments Ltd.,ELGIEQUIP,1
Escorts Ltd.,01/08/1998,0
Eskay K'n'IT (India) Ltd.,01/08/1998,0
Essar Oil Ltd.,ESSAROIL,1
Essar Shipping Ports & Logistics Ltd.,01/08/1998,0
Essar Steel Ltd.,01/08/1998,0
Essel Propack Ltd.,ESSELPACK,1
Everest Industries Ltd.,EVERESTIND,1
Excel Industries Ltd.- Arrangement,01/08/1998,0
Exide Industries Ltd.,EXIDEIND,1
FDC Ltd.,FDC,1
FGP Ltd.,01/08/1998,0
Fag Bearings India Ltd.,FAGBEARING,1
Federal Bank Ltd.,FEDERALBNK,1
Federal-Mogul Goetze (India) Ltd.,01/08/1998,0
Finolex Cables Ltd.,FINCABLES,1
Finolex Industries Ltd.,FINPIPE,1
Flat Products Equipments (India) Ltd.,01/08/1998,0
Forbes Gokak Ltd.,01/08/1998,0
Foseco India Ltd.,01/08/1998,0
Fulford (India) Ltd.,01/08/1998,0
GAIL (India) Ltd.,GAIL,1
GHCL Ltd.,GHCL,1
GKN Driveshafts Ltd. -Delisted,01/08/1998,0
GTL Ltd.,GTL,1
GTN Industries Ltd.,01/08/1998,0
Ganesh Benzoplast Ltd.,01/08/1998,0
Garden Silk Mills Ltd.,GARDENSILK,1
Garware Polyester Ltd.,01/08/1998,0
Garware-Wall Ropes Ltd.,01/08/1998,0
German Remedies Ltd.,01/08/1998,0
Gillette India Ltd.,GILLETTE,1
GlaxoSmithkline Consumer Healthcare Ltd.,01/08/1998,0
Glaxosmithkline Pharmaceuticals Ltd.,01/08/1998,0
Godavari Fertilisers & Chemicals Ltd.,01/08/1998,0
Godfrey Phillips India Ltd.,01/08/1998,0
Godrej Industries Ltd.-Old,01/08/1998,0
Golden Tobacco Ltd.,01/08/1998,0
Good Value Marketing Co. Ltd.,01/08/1998,0
Goodricke Group Ltd.,01/08/1998,0
Goodyear India Ltd.,01/08/1998,0
Grasim Industries Ltd.,GRASIM,1
Great Eastern Shipping Co. Ltd.,01/08/1998,0
Greaves Cotton Ltd.,GREAVESCOT,1
Grindwell Norton Ltd.,01/08/1998,0
Gujarat Alkalies & Chemicals Ltd.,01/08/1998,0
Gujarat Fluorochemicals Ltd.,01/08/1998,0
Gujarat Gas Co. Ltd.,GUJRATGAS,1
Gujarat Industries Power Co. Ltd.,01/08/1998,0
Gujarat Lease Financing Ltd.,01/08/1998,0
Gujarat Narmada Valley Fertilisers Co. Ltd.,01/08/1998,0
Gujarat State Fertilizers & Chemicals Ltd.,01/08/1998,0
H.E.G. Ltd.,01/08/1998,0
HAMCO Mining & Smelting Ltd.,01/08/1998,0
HCL Infosystems Ltd.,HCL-INSYS,1
HDFC Bank Ltd.,HDFCBANK,1
Harrisons Malayalam Ltd.,01/08/1998,0
